19,include,"""pngpriv.h""",
21,if,defined(PNG_READ_SUPPORTED) || defined(PNG_WRITE_SUPPORTED),
26,ifdef,PNG_WARNINGS_SUPPORTED,
30,endif,,/* WARNINGS */
37,ifdef,PNG_ERROR_TEXT_SUPPORTED,
42,ifdef,PNG_ERROR_NUMBERS_SUPPORTED,
81,endif,,
90,else,,
106,endif,,/* ERROR_TEXT */
127,if,defined(PNG_WARNINGS_SUPPORTED) || defined(PNG_TIME_RFC1123_SUPPORTED),
207,endif,,
209,ifdef,PNG_WARNINGS_SUPPORTED,
221,ifdef,PNG_ERROR_NUMBERS_SUPPORTED,
224,endif,,
358,endif,,/* WARNINGS */
360,ifdef,PNG_BENIGN_ERRORS_SUPPORTED,
366,,#     ifdef PNG_READ_SUPPORTED,
371,,#     endif,
377,,#     ifdef PNG_READ_SUPPORTED,
382,,#     endif,
386,,#  ifndef PNG_ERROR_TEXT_SUPPORTED,
388,,#  endif,
399,,#  ifndef PNG_ERROR_TEXT_SUPPORTED,
401,,#  endif,
412,,#  ifndef PNG_ERROR_TEXT_SUPPORTED,
414,,#  endif,
416,endif,,/* BENIGN_ERRORS */
418,define,PNG_MAX_ERROR_TEXT 196 ,/* Currently limited by profile_error in png.c */
419,if,defined(PNG_WARNINGS_SUPPORTED) || (defined(PNG_READ_SUPPORTED) && defined(PNG_ERROR_TEXT_SUPPORTED)),
427,define,isnonalpha(c) ((c) < 65 || (c) > 122 || ((c) > 90 && (c) < 97)),
476,endif,,/* WARNINGS || ERROR_TEXT */
478,if,defined(PNG_READ_SUPPORTED) && defined(PNG_ERROR_TEXT_SUPPORTED),
493,endif,,/* READ && ERROR_TEXT */
495,ifdef,PNG_WARNINGS_SUPPORTED,
509,endif,,/* WARNINGS */
511,ifdef,PNG_READ_SUPPORTED,
512,ifdef,PNG_BENIGN_ERRORS_SUPPORTED,
523,,#  ifndef PNG_ERROR_TEXT_SUPPORTED,
525,,#  endif,
527,endif,,
528,endif,,/* READ */
533,,#  ifndef PNG_WARNINGS_SUPPORTED,
535,,#  endif,
540,,#  if defined(PNG_READ_SUPPORTED) && defined(PNG_WRITE_SUPPORTED),
542,,#  endif,
544,,#  ifdef PNG_READ_SUPPORTED,
552,,#  endif,
554,,#  if defined(PNG_READ_SUPPORTED) && defined(PNG_WRITE_SUPPORTED),
556,,#  endif,
558,,#  ifdef PNG_WRITE_SUPPORTED,
566,,#  endif,
569,ifdef,PNG_ERROR_TEXT_SUPPORTED,
570,ifdef,PNG_FLOATING_POINT_SUPPORTED,
574,,"#  define fixed_message ""fixed point overflow in """,
575,,#  define fixed_message_ln ((sizeof fixed_message)-1),
589,endif,,
590,endif,,
592,ifdef,PNG_SETJMP_SUPPORTED,
703,endif,,
714,ifdef,PNG_CONSOLE_IO_SUPPORTED,
715,ifdef,PNG_ERROR_NUMBERS_SUPPORTED,
745,endif,,
751,else,,
753,endif,,
760,ifdef,PNG_SETJMP_SUPPORTED,
764,else,,
767,endif,,
778,ifdef,PNG_WARNINGS_SUPPORTED,
787,ifdef,PNG_CONSOLE_IO_SUPPORTED,
788,,#  ifdef PNG_ERROR_NUMBERS_SUPPORTED,
816,,#  endif,
822,else,,
824,endif,,
827,endif,,/* WARNINGS */
843,ifdef,PNG_WARNINGS_SUPPORTED,
845,else,,
847,endif,,
865,ifdef,PNG_ERROR_NUMBERS_SUPPORTED,
876,endif,,
878,if,defined(PNG_SIMPLIFIED_READ_SUPPORTED) || defined(PNG_SIMPLIFIED_WRITE_SUPPORTED),
919,ifdef,PNG_WARNINGS_SUPPORTED,
933,endif,,
962,endif,,/* SIMPLIFIED READ || SIMPLIFIED_WRITE */
963,endif,,/* READ || WRITE */
