14,include,"""pngpriv.h""",
16,ifdef,PNG_WRITE_SUPPORTED,
18,ifdef,PNG_WRITE_INT_FUNCTIONS_SUPPORTED,
42,endif,,
55,ifdef,PNG_IO_STATE_SUPPORTED,
58,endif,,
78,if,defined(PNG_DEBUG) && (PNG_DEBUG > 0),
81,endif,,
86,ifdef,PNG_IO_STATE_SUPPORTED,
91,endif,,
106,ifdef,PNG_IO_STATE_SUPPORTED,
111,endif,,
152,ifdef,PNG_IO_STATE_SUPPORTED,
157,endif,,
242,ifdef,PNG_WRITE_OPTIMIZE_CMF_SUPPORTED,
288,endif,,/* WRITE_OPTIMIZE_CMF */
297,if,defined(PNG_WARNINGS_SUPPORTED) || defined(PNG_ERROR_TEXT_SUPPORTED),
309,endif,,
310,if,PNG_RELEASE_BUILD,
321,else,,
323,endif,,
348,ifdef,PNG_WRITE_CUSTOMIZE_ZTXT_COMPRESSION_SUPPORTED,
354,else,,
361,endif,,
458,ifdef,PNG_WRITE_COMPRESSED_TEXT_SUPPORTED,
619,ifdef,PNG_WRITE_OPTIMIZE_CMF_SUPPORTED,
622,endif,,
665,endif,,/* WRITE_COMPRESSED_TEXT */
691,ifdef,PNG_WRITE_16BIT_SUPPORTED,
693,endif,,
704,ifdef,PNG_WRITE_16BIT_SUPPORTED,
706,endif,,
730,ifdef,PNG_WRITE_16BIT_SUPPORTED,
732,endif,,
741,ifdef,PNG_WRITE_16BIT_SUPPORTED,
743,endif,,
770,ifdef,PNG_MNG_FEATURES_SUPPORTED,
776,endif,,
783,ifdef,PNG_WRITE_INTERLACING_SUPPORTED,
790,else,,
792,endif,,
798,ifdef,PNG_MNG_FEATURES_SUPPORTED,
800,endif,,
855,ifdef,PNG_MNG_FEATURES_SUPPORTED,
857,endif,,
884,ifdef,PNG_POINTER_INDEXING_SUPPORTED,
894,else,,
908,endif,,
999,ifdef,PNG_WRITE_OPTIMIZE_CMF_SUPPORTED,
1003,endif,,
1046,ifdef,PNG_WRITE_OPTIMIZE_CMF_SUPPORTED,
1050,endif,,
1081,ifdef,PNG_WRITE_gAMA_SUPPORTED,
1094,endif,,
1096,ifdef,PNG_WRITE_sRGB_SUPPORTED,
1112,endif,,
